id,match
kasten_blau_45_8_0135,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Drey"
kasten_blau_45_9_0179,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Durch"
kasten_blau_45_8_0132,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_8_0010,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_44_7_0045,"Durchleüchtiger Cuhrfürst, mein <mark>herz</mark> allerlibster herrh bruderbr In"
kasten_blau_45_8_0220,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_44_6_0251,Liebden getrewste schwester Eleonora <mark>herz</mark> allerliebsten herrnh bruder fürsten
kasten_blau_44_7_0042,vndt kennen mein trews <mark>herz</mark>. Also kom zuden notwendigen
kasten_blau_45_8_0202,"Durchleüchtiger fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_44_8_0324,"Durchleüchtiger Curfürst, mein <mark>herz</mark> allerlibster herrh bruder Ich"
kasten_blau_45_8_0352,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ewer"
kasten_blau_45_9_0372,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ewer"
kasten_blau_45_9_0265,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Vohr"
kasten_blau_44_2d_0029,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herrh brueder Ich"
kasten_blau_45_8_0014,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_44_7_0384,newen iahr nachmahlen sein <mark>herz</mark> gegen dieselbe ausgist. Es
kasten_blau_45_8_0043,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Es"
kasten_blau_45_8_0100,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_8_0016,"Durchleüchtigster Fürst, <mark>herz</mark> allerliebster herr vatter Ich"
kasten_blau_45_9_0043,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Mit"
kasten_blau_45_8_0213,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herr vatter Ewer"
kasten_blau_44_6_0003,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster herrh bruder Wie"
kasten_blau_45_8_0333,"Durchleüchtiger Fürst, <mark>herz</mark> allerliebster her vatter Ich"
